novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
Beloved (1987),Solomon,236,243,character_reference,0.85,Solomon,ALSO BY TONI MORRISON The Bluest Eye Sula Song of Solomon Tar Baby BELOVED N I I 8 Gift 6129107 BELOVED A N
Beloved (1987),ROMANS 9:25,1087,1098,direct_quote,0.95,Romans 9:25,"y people; and her beloved, which was not beloved. ROMANS 9:25 1 One I 1 1 1 -- 124 WAS SPITEFUL. Full of a baby"
Beloved (1987),Paul,9464,9468,character_reference,0.85,Paul,"ory, sitting on the porch not forty feet away was Paul D, the last of the Sweet Home men. And although s"
Beloved (1987),lot,10454,10457,character_reference,0.7,Lot,"r the house. ""No, uh uh. Can't baby feet. A whole lot more tramping they got to do yet."" ""You can't lea"
Beloved (1987),Paul,10522,10526,character_reference,0.85,Paul,"they got to do yet."" ""You can't leave right away, Paul D. You got to stay awhile."" ""Well, long enough to"
Beloved (1987),hope,10687,10691,thematic_reference,0.8,Hope,""" ""Eight years now. Almost nine."" ""Was it hard? I hope she didn't die hard."" Sethe shook her head. ""Soft"
Beloved (1987),Paul,12932,12936,character_reference,0.85,Paul,"f too, God bless her."" ""You could stay the night, Paul D."" ""You don't sound too steady in the offer."" Se"
Beloved (1987),hope,13071,13075,thematic_reference,0.8,Hope,"ard the closed door. ""Oh it's truly meant. I just hope you'll pardon my house. Come on in. Talk to Denve"
Beloved (1987),Paul,13159,13163,character_reference,0.85,Paul,"n. Talk to Denver while I cook you something.' """" Paul D tied his shoes together, hung them over his sho"
Beloved (1987),Paul,14990,14994,character_reference,0.85,Paul,"fire as her pregnant belly allowed and told him, Paul D, the last of the Sweet Home men. There had been"
Beloved (1987),Paul,16084,16088,character_reference,0.85,Paul,"th of em walked off just before Baby Suggs died."" Paul D looked at the spot where the grief had soaked h"
Beloved (1987),Paul,16605,16609,character_reference,0.85,Paul,"urant in town. And I sew a little on the sly.' """" Paul D smiled then, remembering the bedding dress. Set"
Beloved (1987),Paul,18340,18344,character_reference,0.85,Paul,"e and call his own niggers men. And so they were: Paul D Garner, Paul F Garner, Paul A Garner, Halle Sug"
Beloved (1987),Paul,18355,18359,character_reference,0.85,Paul,"own niggers men. And so they were: Paul D Garner, Paul F Garner, Paul A Garner, Halle Suggs and Sixo, th"
Beloved (1987),Paul,18370,18374,character_reference,0.85,Paul,". And so they were: Paul D Garner, Paul F Garner, Paul A Garner, Halle Suggs and Sixo, the wild man. All"
Beloved (1987),Paul,19209,19213,character_reference,0.85,Paul,the blue-and-white wallpaper of the second floor. Paul D could see just the beginning of the paper; disc
Beloved (1987),Paul,19598,19602,character_reference,0.85,Paul,s round and brown with the face of an alert doll. Paul D looked at the girl and then at Sethe who smiled
Beloved (1987),Paul,19693,19697,character_reference,0.85,Paul,"ho smiled saying, ""Here she is my Denver. This is Paul D, honey, from Sweet Home."" ""Good morning, Mr. D."
Beloved (1987),Paul,19764,19768,character_reference,0.85,Paul,"weet Home."" ""Good morning, Mr. D."" ""Garner, baby. Paul D Garner."" ""Yes sir."" ""Glad to get a look at you."
Beloved (1987),Paul,22069,22073,character_reference,0.85,Paul,"by ghost. ""She's a fine-looking young lady,"" said Paul D. ""Fine-looking. Got her daddy's sweet face."" ""Y"
Beloved (1987),Paul,23545,23549,character_reference,0.85,Paul,"” ""Rebuked. Lonely and rebuked."" ""Is that right?"" Paul D turned to Sethe. ""I don't know about lonely,"" s"
Beloved (1987),Paul,23843,23847,character_reference,0.85,Paul,"y sister,"" said Denver. ""She died in this house."" Paul D scratched the hair under his jaw. ""Reminds me o"
Beloved (1987),Paul,24190,24194,character_reference,0.85,Paul,"u would have stayed."" ""Girl, who you talking to?"" Paul D laughed. ""True, true. She's right, Sethe. It wa"
Beloved (1987),Paul,24621,24625,character_reference,0.85,Paul,"ed him."" ""Don't go to any trouble on my account,"" Paul D said. ""Bread ain't trouble. The rest I brought"
Beloved (1987),Paul,25260,25264,character_reference,0.85,Paul,"new you to behave this way."" ""Leave her be,"" said Paul D. ""I'm a stranger to her."" ""That's just it. She"
Beloved (1987),Paul,25839,25843,character_reference,0.85,Paul,"'s she talking 'bout nobody speaks to you?"" asked Paul D. ""It's the house. People don't-"" ""It's not! It'"
Beloved (1987),Paul,26266,26270,character_reference,0.7,Paul,"ns this house?"" Over Denver's shoulder Sethe shot Paul D a look of snow. ""What you care?"" ""They won't le"
Beloved (1987),Paul,26838,26842,character_reference,0.85,Paul,"id for the ticket, but let me tell you something, Paul D Garner: it cost too much! Do you hear me? It co"
Beloved (1987),Paul,26951,26955,character_reference,0.85,Paul,"ch. Now sit down and eat with us or leave us be."" Paul D fished in his vest for a little pouch of tobacc"
Beloved (1987),Paul,29479,29483,character_reference,0.85,Paul,"ere with it."" ""Men don't know nothing much,"" said Paul D, tucking his pouch back into his vest pocket, """
