novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
A Mercy (2008),Jacob,527,532,character_reference,0.85,Jacob,"avery and race hatred were planted and took root. Jacob is an Anglo-Dutch trader and adven- turer, with a"
A Mercy (2008),Mary,757,761,character_reference,0.7,Mary,"or a bad debt from a plantation owner in Catholic Mary- land. This is Florens, ""with the hands of a slav"
A Mercy (2008),Acts,1525,1529,thematic_reference,0.9,Acts,"save her, and who may never exorcise that abandon Acts of mercy may have unforese quences. rher A BOOK-O"
A Mercy (2008),Solomon,1688,1695,character_reference,0.85,Solomon,ction Love Paradise Jazz Beloved Tar Baby Song of Solomon Sula The Bluest Eye Nonfiction The Dancing Mind P
A Mercy (2008),Mary,8631,8635,character_reference,0.7,Mary,. Lina says the place of my talk- ing on stone is Mary's Land where Sir does business. So that is where
A Mercy (2008),Jacob,13278,13283,character_reference,0.85,Jacob,"aded to forgo a deposit if the man signed a note: Jacob Vaark. The saddle was poorly made but the horse,"
A Mercy (2008),Jacob,14441,14446,character_reference,0.85,Jacob,"wielded in the interests of the try's profits. In Jacob Vaark's view, these were lawless gen- ΙΙ laws enc"
A Mercy (2008),Jacob,15186,15191,character_reference,0.85,Jacob,"s precarious but person- ally more repellent one, Jacob urged the mare to a faster pace. He dismounted tw"
A Mercy (2008),Noah,16607,16611,character_reference,0.85,Noah,"m gold of the bay, he saw forests untouched since Noah, shorelines beautiful enough to bring tears, wild"
A Mercy (2008),Jacob,18757,18762,character_reference,0.85,Jacob,"able; it was essential. In such ad hoc territory, Jacob simply knew that when he came out of that forest"
A Mercy (2008),Jacob,21308,21313,character_reference,0.85,Jacob,"aza, announcing a prideful entrance to a veranda. Jacob stopped. A boy appeared and, dismount- ing a bit"
A Mercy (2008),Jacob,21545,21550,character_reference,0.85,Jacob,"ring, ""Nice lady. Nice lady,"" as he led her away. Jacob Vaark climbed three brick steps, then retraced th"
A Mercy (2008),Jacob,22580,22585,character_reference,0.85,Jacob,". ""Afternoon, sir."" ""Mr. Ortega is expecting me."" Jacob surveyed the room over the old man's head. ""Yes,"
A Mercy (2008),Jacob,22808,22813,character_reference,0.85,Jacob,"e followed by D'Ortega's call. ""Well timed! Come, Jacob. Come."" He motioned toward a parlor. ""Good day, s"
A Mercy (2008),Jacob,22889,22894,character_reference,0.85,Jacob,"d a parlor. ""Good day, sir. Thank you, sir,"" said Jacob, mar- veling at his host's coat, his stockings, h"
A Mercy (2008),Jacob,23070,23075,character_reference,0.85,Jacob,"t, D'Ortega's skin was as dry as parchment, while Jacob continued to perspire. The condition of the hand-"
A Mercy (2008),Jacob,23506,23511,character_reference,0.85,Jacob,"ega swiftly got to business. Disaster had struck. Jacob had heard about it, but lis- tened politely with"
A Mercy (2008),Jacob,24327,24332,character_reference,0.85,Jacob,"d let his ship sail on to Bar- bados? No, thought Jacob. A sloven man, stubborn in his wrongheadedness li"
A Mercy (2008),faith,24402,24407,thematic_reference,0.8,Faith,"born in his wrongheadedness like all of the Roman faith, he waits in port for another month for a phantom"
A Mercy (2008),Jacob,24910,24915,character_reference,0.85,Jacob,edious affair made intolerable by the awkwardness Jacob felt. His rough clothes were in stark contrast to
A Mercy (2008),Jacob,25518,25523,character_reference,0.85,Jacob,"In spite of his dirty hands and sweat-limp hair, Jacob pressed down his annoyance and chose to focus on"
A Mercy (2008),Jacob,26155,26160,character_reference,0.85,Jacob,"w grasp of the English language, but it seemed to Jacob that nothing transpired in the conver- sation tha"
A Mercy (2008),Jacob,26540,26545,character_reference,0.85,Jacob,"canonization. ""Are they often ill, Madam?"" asked Jacob. ""As they pretend, no,"" said his hostess. ""Scound"
A Mercy (2008),Jacob,26690,26695,character_reference,0.85,Jacob,"y with this trickery."" ""They come from Portugal?"" Jacob wondered if the serving woman understood English"
A Mercy (2008),Jacob,27468,27473,character_reference,0.85,Jacob,"ift and immensely enriching. For a while, thought Jacob. D'Ortega did not seem to be making a go of his r"
