novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
Sula (1973),Solomon,2130,2137,character_reference,0.85,Solomon,2 S ALSO BY TONI MORRISON The Bluest Eye Song of Solomon Tar Baby Sula 1 SULA Toni Morrison ALFRED . A . K
Sula (1973),Matthew,5472,5479,thematic_reference,0.9,Matthew,". He'd have to stand in the back of Greater Saint Matthew's and let the tenor's voice dress him in silk, or"
Sula (1973),grace,12351,12356,thematic_reference,0.8,Grace,"y of the headless soldier ran on, with energy and grace, ignoring altogether the drip and slide of brain"
Sula (1973),Eve,25093,25096,character_reference,0.7,Eve,"ew Years, 'stead of before. I get paid New Year's Eve."" And his sweetheart answered, ""OK, but make sure"
Sula (1973),redemption,25604,25614,thematic_reference,0.8,Redemption,"go on with Shad and save the Lamb the trouble of redemption."" Easily, quietly, Suicide Day became a part of t"
Sula (1973),Mary,26328,26332,character_reference,0.85,Mary,"under the dolesome eyes of a multicolored Virgin Mary, counseling her to be constantly on guard for any"
Sula (1973),Eve,27217,27220,character_reference,0.7,Eve,"ew Years, 'stead of before. I get paid New Year's Eve."" And his sweetheart answered, ""OK, but make sure"
Sula (1973),redemption,27728,27738,thematic_reference,0.8,Redemption,"go on with Shad and save the Lamb the trouble of redemption."" Easily, quietly, Suicide Day became a part of t"
Sula (1973),Mary,28445,28449,character_reference,0.85,Mary,"under the dolesome eyes of a multicolored Virgin Mary, counseling her to be constantly on guard for any"
Sula (1973),Mary,40151,40155,character_reference,0.85,Mary,ttin'-up. They stepped into the house. The Virgin Mary clasped her hands in front of her neck three time
Sula (1973),lot,41799,41802,character_reference,0.7,Lot,"at your only one?"" ""Yes,"" said Helene. ""Pretty. A lot like you."" ""Yes. Well. She's ten now."" ""Ten? Vrai"
Sula (1973),Jesus,46012,46017,character_reference,0.85,Jesus,"quilts, ""I want... I want to be... wonderful. Oh, Jesus, make me wonderful."" The many experiences of her"
Sula (1973),trinity,61160,61167,thematic_reference,0.8,Trinity,"me a dewey-joining with the other two to become a trinity with a plural name inseparable, loving nothing an"
Sula (1973),job,63667,63670,thematic_reference,0.9,Job,"tly did not have his rent money. When he lost his job altogether, he would go out in the morning, scrou"
Sula (1973),job,65456,65459,thematic_reference,0.9,Job,"sense letters about minor troubles, her husband's job and who the children favored. Hannah married a la"
Sula (1973),baptism,76059,76066,thematic_reference,0.8,Baptism,"le pouring a wet lightness over him. Some kind of baptism, some kind of blessing, he thought. Everything is"
Sula (1973),hope,87840,87844,thematic_reference,0.8,Hope,"ould do it enthusiastically but without the least hope in the world. ""While you sittin' there, honey, go"
Sula (1973),Jesus,102525,102530,character_reference,0.7,Jesus,"t and themselves. For some it was the term ""Sweet Jesus."" And they saw the Lamb's eye and the truly inno-"
Sula (1973),Paul,106349,106353,character_reference,0.85,Paul,"tonight."" ""Thought you was gone can some."" ""Uncle Paul ain't brought me none yet. A peck ain't enough to"
Sula (1973),Paul,107154,107158,character_reference,0.85,Paul,"dying like flies. Stepping tall, ain't you? Uncle Paul gone bring me two bushels. Yeh. And they's a melo"
Sula (1973),Jesus,119416,119421,character_reference,0.85,Jesus,"er running, dancing toward them. They whispered, ""Jesus, Jesus,"" and to- gether hoisted up their tub of w"
Sula (1973),Jesus,119423,119428,character_reference,0.85,Jesus,"ing, dancing toward them. They whispered, ""Jesus, Jesus,"" and to- gether hoisted up their tub of water in"
Sula (1973),Jesus,120464,120469,character_reference,0.85,Jesus,to each other and to God. In the midst of calling Jesus they heard the hollow clang of the ambulance bell
Sula (1973),Jude,125747,125751,thematic_reference,0.9,Jude,"rls and a comfortable one among men. His name was Jude Greene, and with the pick of some eight or ten gi"
Sula (1973),job,125957,125960,thematic_reference,0.9,Job,"get married. He was twenty then, and although his job as a waiter at the Hotel Medal- lion was a blessi"
Sula (1973),Jude,126946,126950,thematic_reference,0.9,Jude,"er Road). Along with a few other young black men, Jude had gone down to the shack where they were hiring"
Sula (1973),Jude,127405,127409,thematic_reference,0.9,Jude,ack men who could tear that road up. The men like Jude who could do real work. Jude himself longed more
Sula (1973),Jude,127434,127438,thematic_reference,0.9,Jude,oad up. The men like Jude who could do real work. Jude himself longed more than anybody else to be taken
Sula (1973),job,129998,130001,thematic_reference,0.9,Job,s head of a household pinned to an unsatisfactory job out of necessity. The two of them together would
Sula (1973),Jude,130060,130064,thematic_reference,0.9,Jude,ecessity. The two of them together would make one Jude. His fears lest his burst dream of road building
Sula (1973),Jude,130254,130258,thematic_reference,0.9,Jude,peared altogether when she dis- covered his pain. Jude could see himself taking shape in her eyes. She a
Sula (1973),Jude,131005,131009,thematic_reference,0.9,Jude,"stern and undemonstrative parents was Sula. When Jude began to hover around, she was flattered all the"
Sula (1973),Jude,131431,131435,thematic_reference,0.9,Jude,e was a challenge to the other. Nel's response to Jude's shame and anger selected her away from Sula. An
Sula (1973),Jude,131625,131629,thematic_reference,0.9,Jude,"singly. She didn't even know she had a neck until Jude remarked on it, or that her smile was anything bu"
Sula (1973),Jude,132825,132829,thematic_reference,0.9,Jude,"into the first grade together. I thas 60 Nel and Jude, who had been the stars all during the wedding, w"
Sula (1973),Jude,133264,133268,thematic_reference,0.9,Jude,"t. They had taken a housekeeping room with one of Jude's aunts (over the protest of Mrs. Wright, who had"
Sula (1973),Jude,133473,133477,thematic_reference,0.9,Jude,"restless to go there. As if reading her thoughts, Jude leaned down and whis- pered, ""Me too."" Nel smiled"
Sula (1973),Eve,134206,134209,character_reference,0.7,Eve,"be thick with birds. Disappars like her grandine, Eve  PART TWO  PART TWO  1937 Accompanied by a plague"
Sula (1973),John,137536,137540,thematic_reference,0.9,John,"ula could answer his mother had called him, ""You, John. Get back in here."" At Eva's house there were fou"
Sula (1973),hope,138200,138204,thematic_reference,0.8,Hope,"The rest of my stuff will be on later."" ""I should hope so. Them little old furry tails ain't going to do"
Sula (1973),Grace,140629,140634,thematic_reference,0.8,Grace,"""What the hell do I care about falling?"" ""Amazing Grace."" ""You sold your life for twenty-three dollars a"
Sula (1973),Matthew,142337,142344,thematic_reference,0.9,Matthew,et against the whitewashed walls of Greater Saint Matthew's. Nel listened and was moved to smile. To smile
Sula (1973),Jude,143645,143649,thematic_reference,0.9,Jude,"the living-room window shade. Even Nel's love for Jude, which over the years had spun a steady gray web"
Sula (1973),mark,144513,144517,thematic_reference,0.9,Mark,"nt in the May shine. aveless Hey, girl."" The rose mark over Sula's eye gave her differentglance 1- erice"
Sula (1973),Hope,145345,145349,thematic_reference,0.8,Hope,"ome yet, but it's good and cold."" ""That's fine."" “Hope I didn't speak too soon. Kids run in and out of h"
Sula (1973),Jude,145467,145471,thematic_reference,0.9,Jude,"bent to open the icebox. ""You puttin' it on, Nel. Jude must be wore out."" ""Jude must be wore out? You do"
Sula (1973),Jude,145492,145496,thematic_reference,0.9,Jude,"""You puttin' it on, Nel. Jude must be wore out."" ""Jude must be wore out? You don't care nothin' 'bout my"
Sula (1973),Jude,145607,145611,thematic_reference,0.9,Jude,"ou?"" ""Is that where it's at, in your back?"" ""Hah! Jude thinks it's everywhere."" what is ""げ​? ""He's right"
Sula (1973),John,145732,145736,thematic_reference,0.9,John,"ust be glad he found it, wherever it is. Remember John L.?"" ""When Shirley said he got her down by the we"
Sula (1973),John,146000,146004,thematic_reference,0.9,John,"ck?"" ""Mmm. Like a ox."" ""That was one dumb nigger, John L."" ""Maybe. Maybe he was just sanitary."" ""Sanitar"
Sula (1973),mark,147100,147104,thematic_reference,0.9,Mark,"d time-y stuff."" ""Tell us."" ""Tell you?"" The black mark leaped. ""Uh huh. Tell us."" ""What tickles us would"
Sula (1973),John,147354,147358,thematic_reference,0.9,John,"""What happened?"" ""Well, some old boy we knew name John L. and a girl name..."" Damp-faced, Nel stepped ba"
Sula (1973),lot,147929,147932,character_reference,0.7,Lot,"ats me. Such a simple thing."" ""But we sure made a lot out of it, and the boys were dumber than we were."
Sula (1973),Jude,152887,152891,thematic_reference,0.9,Jude,n ran in announcing the entrance of their father. Jude opened the back door and walked into the kitchen.
Sula (1973),Jude,153094,153098,thematic_reference,0.9,Jude,"che under his nose, and a part in his hair. ""Hey, Jude. What you know good?"" ""White man running it-nothi"
Sula (1973),Jude,153737,153741,thematic_reference,0.9,Jude,"ooked like a pretty good life to her. ""Say what?"" Jude's temper flared just a bit as he looked at this f"
Sula (1973),lot,154018,154021,character_reference,0.7,Lot,"try trying to find some man to burden down with a lot of lip and a lot of mouths. Sula was smiling. ""I"
Sula (1973),lot,154035,154038,character_reference,0.7,Lot,"d some man to burden down with a lot of lip and a lot of mouths. Sula was smiling. ""I mean, I don't kno"
Sula (1973),Jude,155234,155238,thematic_reference,0.9,Jude,". It looks to me like you the envy of the world."" Jude and Nel were laughing, he saying, ""Well, if that'"
