novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),grace,442712,442717,thematic_reference,0.8,Grace,"s the light trying to get through the trees. Four grace- ful columns supported the portico, and the huge",annotator_1,overlap
Song of Solomon (1977),Ruth,60368,60372,thematic_reference,0.9,Ruth,"r- rected her. ""And that lawyer-what's his name?"" Ruth looked around at Corinthians, who ignored her. ""A",annotator_1,overlap
Tar Baby (1981),job,429061,429064,thematic_reference,0.9,Job,"d to provide a solution. That was the future, her job at hand was to reveal the past. Right now she had",annotator_1,unique
Beloved (1987),Jesus,157814,157819,character_reference,0.85,Jesus,"owning in its mother's blood. Amy stopped begging Jesus and began to curse His daddy. ""Push!"" screamed Am",annotator_1,overlap
Song of Solomon (1977),Hagar,87825,87830,character_reference,0.85,Hagar,"ath, but alert as though waiting for some signal. Hagar's profile was hidden by her hair. She leaned forw",annotator_1,overlap
A Mercy (2008),hope,103355,103359,thematic_reference,0.8,Hope,"those. Reverend Father says communion is the best hope, prayer the next. There is no communion hereabout",annotator_1,overlap
Tar Baby (1981),lot,139517,139520,character_reference,0.7,Lot,Valerian and it seemed to Jadine that there was a lot of space around his eyes. 4 BEES have no sting on,annotator_1,overlap
Beloved (1987),Paul,93406,93410,character_reference,0.85,Paul,eased her enough to consider the possibility that Paul D wasn't all that bad. In fact there was somethin,annotator_1,unique
Song of Solomon (1977),Pilate,177722,177728,character_reference,0.7,Pilate,"What you all got in there?"" he asked her. ""That's Pilate's stuff. She calls it her inheritance."" Hagar was",annotator_1,overlap
A Mercy (2008),hope,161078,161082,thematic_reference,0.8,Hope,h in these parts. Black flies alone will kill all hope for it if marauding wildlife does not. Farms live,annotator_1,overlap
Tar Baby (1981),Paul,465062,465066,character_reference,0.85,Paul,"""Today? You can't leave today."" ""Why not?"" ""Ernie Paul is coming. We called him up. He left from Mont- g",annotator_1,overlap
The Bluest Eye (1970),Job,260319,260322,thematic_reference,0.9,Job,"could have told her, a long-ago habit broken for Job --but no more.) She came to me for them. She had",annotator_1,overlap
Song of Solomon (1977),Pilate,256623,256629,character_reference,0.85,Pilate,"Hagar slumped and moved slowly back to her bench. Pilate turned her eyes to Ruth. ""Come on in. Rest yourse",annotator_1,overlap
Song of Solomon (1977),Pilate,385719,385725,character_reference,0.7,Pilate,"Hand in hand."" Milkman was astonished. He thought Pilate's only acquain- tance with the Bible was the gett",annotator_1,overlap
Song of Solomon (1977),Numbers,293395,293402,thematic_reference,0.9,Numbers,". I can't see how it helps anybody."" ""I told you. Numbers. Balance. Ratio. And the earth, the land."" ""I'm n",annotator_1,unique
Song of Solomon (1977),Ruth,133687,133691,thematic_reference,0.9,Ruth,"omebody tiptoed up to me and said, 'Doctor died.' Ruth, they said, was upstairs with him. I figured she",annotator_1,unique
Beloved (1987),Paul,237421,237425,character_reference,0.85,Paul,"ing about what would be the case if Sethe died or Paul D took her away, a dream-come-true comes true jus",annotator_1,overlap
Sula (1973),Jesus,119416,119421,character_reference,0.85,Jesus,"er running, dancing toward them. They whispered, ""Jesus, Jesus,"" and to- gether hoisted up their tub of w",annotator_1,unique
A Mercy (2008),Jacob,18757,18762,character_reference,0.85,Jacob,"able; it was essential. In such ad hoc territory, Jacob simply knew that when he came out of that forest",annotator_1,overlap
Paradise (1998),Esther,575135,575141,thematic_reference,0.9,Esther,me of his great-grandfather. The second was named Esther for the great-grandmother who loved and cared for,annotator_1,overlap
Paradise (1998),Zechariah,372487,372496,thematic_reference,0.9,Zechariah,"-all of whom moved from Haven to northern states. Zechariah would have hated that. Moving would have been ""sc",annotator_1,overlap
Paradise (1998),lot,545092,545095,character_reference,0.7,Lot,ars till she threw him out the door. Take a whole lot of healthy babies to make him for- get that. He's,annotator_1,overlap
Song of Solomon (1977),hope,175040,175044,thematic_reference,0.8,Hope,"-52?"" ""Every woman's not as strong as she is."" ""I hope not. Half as strong is too much."" ""Well, muscle s",annotator_1,overlap
Paradise (1998),Esther,18550,18556,thematic_reference,0.9,Esther,"es were simply company: Ace's spotted horse, Miss Esther's ancient featherweight, all four of Nathan's plo",annotator_1,overlap
Beloved (1987),Paul,319698,319702,character_reference,0.85,Paul,rching for the eighteen-year-old clipping to show Paul D as proof. Afterward not before-he considered Se,annotator_1,overlap
Paradise (1998),numbers,251979,251986,thematic_reference,0.9,Numbers,as though she might have trouble remembering five numbers in a row. She had brought ham sandwiches too (his,annotator_1,overlap
Tar Baby (1981),job,415589,415592,thematic_reference,0.9,Job,"She said, ""Not tonight, I don't,"" so he left the job hauling boxes and took her home. All three, Nommo",annotator_1,overlap
Song of Solomon (1977),Pilate,529499,529505,character_reference,0.7,Pilate,"."" ""I had an aunt live down this way too. Name of Pilate. Pilate Dead. Ever hear of her?"" ""Ha! Sound like",annotator_1,overlap
Paradise (1998),lot,323488,323491,character_reference,0.7,Lot,ned him. Pallas had met him in the school parking lot the day her Toyota wouldn't start. Actually met h,annotator_1,unique
Beloved (1987),Paul,190458,190462,character_reference,0.85,Paul,"hind me.” ""I don't hear nobody."" ""I have to cook, Paul D."" ""Me too."" He stood up and made her stay there",annotator_1,overlap
Jazz (1992),Jesus,30928,30933,character_reference,0.7,Jesus,"better get to before I lose this no-count job. O Jesus."" She sighed heavily. ""Leave a note, why don't yo",annotator_1,overlap
Song of Solomon (1977),Grace,595770,595775,thematic_reference,0.8,Grace,Heddy. I didn't want to go into all of that with Grace. You can imagine what she'd do with that informat,annotator_1,overlap
Song of Solomon (1977),Hagar,178633,178638,character_reference,0.85,Hagar,"of the girls his own age. There were months when Hagar would not see him, and then he'd appear one day a",annotator_1,overlap
Beloved (1987),Jesus,460041,460046,character_reference,0.85,Jesus,"at? Is that why you can't walk down the steps? My Jesus my."" But you said there was no defense. ""There ai",annotator_1,overlap
Beloved (1987),Paul,437250,437254,character_reference,0.85,Paul,"be- tween forefinger and thumb. ""Something else."" Paul D didn't say anything so the two men sat in silen",annotator_1,overlap
A Mercy (2008),Jacob,45849,45854,character_reference,0.85,Jacob,"in Barbados. ""Still the risk is high,"" countered Jacob. ""I've heard of whole estates cut down by disease",annotator_1,overlap
