novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),hope,416782,416786,thematic_reference,0.8,Hope,ddy's right about what's in that cave. And I sure hope you don't have no second thoughts about getting i,annotator_3,overlap
Sula (1973),numbers,263788,263795,thematic_reference,0.9,Numbers,stopped what they were do- ing and turned out in numbers to put the fallen sister away. It was Nel who fin,annotator_3,unique
Beloved (1987),Paul,250987,250991,character_reference,0.85,Paul,mth of Sethe's smile. Once before (and only once) Paul D had been grateful to a woman. Crawling out of t,annotator_3,unique
Beloved (1987),Paul,430969,430973,character_reference,0.85,Paul,s trousers smokes. He laughs. Something is funny. Paul D guesses what it is when Sixo interrupts his lau,annotator_3,overlap
Beloved (1987),Paul,215886,215890,character_reference,0.85,Paul,"all forty-six, resting, planning their next move. Paul D had no idea of what to do and knew less than an",annotator_3,unique
Song of Solomon (1977),Pilate,50861,50867,character_reference,0.7,Pilate,"heard the music. They were singing. All of them. Pilate, Reba, and Reba's daughter, Hagar. There was no o",annotator_3,overlap
Beloved (1987),John,299998,300002,thematic_reference,0.9,John,"g while the riders asked questions. Not Ella, not John, not anybody ran down or to Bluestone Road, to sa",annotator_3,overlap
Tar Baby (1981),Gideon,363989,363995,character_reference,0.7,Gideon,"Wonderful,"" said Valerian. ""Thérèse the Thief and Gideon the Get Away Man."" Ondine looked up. ""They didn't",annotator_3,overlap
Song of Solomon (1977),Solomon,562547,562554,character_reference,0.85,Solomon,"familiar? Solomon and Ryna. The woods. The hunt. Solomon's Leap and Ryna's Gulch, places they went to or p",annotator_3,overlap
Jazz (1992),Eden,211969,211973,character_reference,0.7,Eden,"dam ate the apple and its core. That when he left Eden, he left a rich man. Not only did he have Eve, bu",annotator_3,unique
Song of Solomon (1977),Solomon,564421,564428,character_reference,0.7,Solomon,on don't leave me here Cotton balls to choke me O Solomon don't leave me here Buckra's arms to yoke me Solo,annotator_3,overlap
Sula (1973),hope,246589,246593,thematic_reference,0.8,Hope,heir hooded eyes swept over the place where their hope had lain since 1927. There was the promise: leaf-,annotator_3,unique
Beloved (1987),Paul,205062,205066,character_reference,0.85,Paul,"more than a day; promptly with the butt if, like Paul D, they had just arrived. When all forty-six were",annotator_3,overlap
Song of Solomon (1977),Pilate,572978,572984,character_reference,0.7,Pilate,they hoped would break the spell. Nothing helped. Pilate's lips were still and Reba's eyes full of panic.,annotator_3,unique
Song of Solomon (1977),Grace,535725,535730,thematic_reference,0.8,Grace,"oice came from be- hind her. ""Somebody to see me, Grace."" ""Well, why don't you ask him in? Don't make him",annotator_3,overlap
The Bluest Eye (1970),job,225385,225388,thematic_reference,0.9,Job,"e white sheets of a singing woman. Free to take a job, free to leave it. He could go to jail and not fe",annotator_3,overlap
Beloved (1987),Paul,503870,503874,character_reference,0.85,Paul,"t in his house? Ha!"" ""Aw no. Hey. Lay off Denver, Paul D. That's my heart. I'm proud of that girl. She w",annotator_3,overlap
Paradise (1998),Aaron,565960,565965,character_reference,0.85,Aaron,"or Lone, would we?"" ""It'll be all right, I guess. Aaron and Pious will stop them. And the Beauchamps. Eve",annotator_3,overlap
Paradise (1998),Mary,467763,467767,character_reference,0.85,Mary,"idn't want to eat him. I just wanted to go home."" Mary Magna came into the chapel and, kneeling with her",annotator_3,overlap
Jazz (1992),faith,168924,168929,thematic_reference,0.8,Faith,"the vicinity hunting work. The straw boss had no faith in her, having watched her sweating hard to fill",annotator_3,overlap
Song of Solomon (1977),Pilate,241632,241638,character_reference,0.7,Pilate,on her house. Ruth had asked some passer-by where Pilate lived and was directed to a lean brown house set,annotator_3,overlap
Paradise (1998),Matthew,199594,199601,thematic_reference,0.9,Matthew,"at the corner onto Central, passed Luke, Mark and Matthew, then parked neatly in front of the bank. The sil",annotator_3,overlap
Paradise (1998),Mary,484489,484493,character_reference,0.85,Mary,"g and going, the cool blue light flickering until Mary Magna asked permission to go, bereft though she w",annotator_3,overlap
Song of Solomon (1977),Pilate,174101,174107,character_reference,0.7,Pilate,broken inside in the place where he'd kicked her. Pilate felt her ribs and said nothing was broken. But Re,annotator_3,unique
Song of Solomon (1977),Pilate,241544,241550,character_reference,0.7,Pilate,"the street Pilate lived on, though not the house. Pilate had no telephone and no number on her house. Ruth",annotator_3,overlap
Song of Solomon (1977),Pilate,266437,266443,character_reference,0.7,Pilate,"t's for • it's for people who were born natural."" Pilate didn't understand that, but she did understand th",annotator_3,overlap
Song of Solomon (1977),Hagar,451548,451553,character_reference,0.85,Hagar,"t about this mixed woman's great-grand- daughter, Hagar, and said, ""Yes. I know what you mean."" ""But a go",annotator_3,unique
Song of Solomon (1977),Hagar,573260,573265,character_reference,0.85,Hagar,idn't even look at it. One day Pilate sat down on Hagar's bed and held a compact before her granddaughter,annotator_3,overlap
Song of Solomon (1977),Pilate,466502,466508,character_reference,0.7,Pilate,ced it before when he waited under the pines near Pilate's house; more when the moon lit up the green sack,annotator_3,unique
Song of Solomon (1977),Ruth,39284,39288,thematic_reference,0.9,Ruth,art of his mind about the first time he called on Ruth Foster's father. He had only two keys in his pock,annotator_3,overlap
Song of Solomon (1977),lot,155983,155986,character_reference,0.7,Lot,"nderstand."" ""Yes I can. You know I used to hunt a lot. When I was a kid down home-"" ""Oh, shit, do we ha",annotator_3,overlap
Beloved (1987),Paul,249100,249104,character_reference,0.85,Paul,"y with in the snow."" Sethe secured her headcloth. Paul D smiled and warmed his hands with his breath. ""I",annotator_3,unique
Tar Baby (1981),Gideon,282751,282757,character_reference,0.7,Gideon,"want to get in there, don't you, eh? That yalla?"" Gideon stroked his chin. ""Man,"" said Son. ""Oh, man."" He",annotator_3,overlap
Song of Solomon (1977),Grace,594779,594784,thematic_reference,0.8,Grace,"e of her hand. ""I just said that in front of her, Grace. She talks so much, you know. Carries tales all o",annotator_3,overlap
Beloved (1987),Paul,427691,427695,character_reference,0.85,Paul,"Halle was not killed or wounded that day because Paul D saw him later, after she had run off with no on",annotator_3,overlap
The Bluest Eye (1970),Cain,87389,87393,character_reference,0.85,Cain,toward them and brought her books down on Woodrow Cain's head. The circle broke. Woodrow Cain grabbed hi,annotator_3,overlap
Song of Solomon (1977),lot,263470,263473,character_reference,0.7,Lot,"n there I took to. A root worker. She taught me a lot and kept me from missin my own family, Macon and",annotator_3,unique
Beloved (1987),Paul,199640,199644,character_reference,0.85,Paul,"baby to him any day. During the first days after Paul D moved in, Denver stayed in her emerald closet a",annotator_3,unique
A Mercy (2008),Jacob,28153,28158,character_reference,0.85,Jacob,"e. Thus, tamping envy as taught in the poorhouse, Jacob entertained himself by conjuring up flaws in the",annotator_3,unique
Song of Solomon (1977),Pilate,581481,581487,character_reference,0.7,Pilate,"on't bother nobody but him."" ""Well, Pilate, then. Pilate know I turned her down, she wouldn't like it. The",annotator_3,overlap
Song of Solomon (1977),Hagar,79911,79916,character_reference,0.85,Hagar,"without popping 'em. Reba, get that other crock."" Hagar looked around, all eyes and hair. ""Why don't we p",annotator_3,overlap
The Bluest Eye (1970),Micah,263718,263723,thematic_reference,0.9,Micah,"ght. Quite. With kindest regards, I remain, Your, Micah Elihue Whitcomb 145 Soaphead Church folded the sh",annotator_3,unique
Tar Baby (1981),Joseph,97645,97651,character_reference,0.85,Joseph,lity of the minds (not the hearts) of Leonora and Joseph Lordi. So when she got married eight months out o,annotator_3,overlap
Song of Solomon (1977),Grace,595770,595775,thematic_reference,0.8,Grace,Heddy. I didn't want to go into all of that with Grace. You can imagine what she'd do with that informat,annotator_3,overlap
Beloved (1987),job,389706,389709,thematic_reference,0.9,Job,"ak, your name. But the Bodwins got me the cooking job at Sawyer's and left me able to smile on my own l",annotator_3,overlap
A Mercy (2008),Judith,128164,128170,character_reference,0.7,Judith,ate what they thought were the manners of queens. Judith spread her shawl on the lid of a box. Elizabeth r,annotator_3,unique
Paradise (1998),Mary,442887,442891,character_reference,0.85,Mary,"in. One of the reasons she so gratefully accepted Mary Magna's hand, stretching over the litter like a d",annotator_3,unique
Song of Solomon (1977),Saul,498630,498634,character_reference,0.85,Saul,"wo women hadn't come running in screaming, ""Saul! Saul!"" The store was full of people by then and the wo",annotator_3,overlap
Song of Solomon (1977),Pilate,85855,85861,character_reference,0.7,Pilate,"got to mash them in our bare feet."" ""Feet? Feet?"" Pilate was outraged. ""Who makes wine with they feet?"" ""M",annotator_3,overlap
Beloved (1987),Paul,93747,93751,character_reference,0.85,Paul,"pparently, able to withstand sharing the pleasure Paul D was having. He slapped his knees when Giant dan",annotator_3,overlap
Beloved (1987),Jesus,444672,444677,character_reference,0.85,Jesus,"in the yard. When she did it."" ""Judy?"" ""Sethe."" ""Jesus."" ""It ain't what you think."" ""You don't know what",annotator_3,overlap
Song of Solomon (1977),Pilate,570815,570821,character_reference,0.7,Pilate,the trash. Vaseline get rid of that ash. Neither Pilate nor Reba knew that Hagar was not like them. Not s,annotator_3,overlap
Sula (1973),Mary,28445,28449,character_reference,0.85,Mary,"under the dolesome eyes of a multicolored Virgin Mary, counseling her to be constantly on guard for any",annotator_3,overlap
Song of Solomon (1977),Pilate,281597,281603,character_reference,0.85,Pilate,"s and people Hagar seemed to admire. In addition, Pilate wanted to make peace between them. She asked her",annotator_3,unique
The Bluest Eye (1970),Mary,67762,67766,character_reference,0.85,Mary,at to do before the tears come. She remembers the Mary Janes. Each pale yellow wrapper has a picture on,annotator_3,unique
Sula (1973),Solomon,2130,2137,character_reference,0.85,Solomon,2 S ALSO BY TONI MORRISON The Bluest Eye Song of Solomon Tar Baby Sula 1 SULA Toni Morrison ALFRED . A . K,annotator_3,overlap
Tar Baby (1981),Gideon,384378,384384,character_reference,0.7,Gideon,"ber her name? Didn't Yardman tell you her name?” ""Gideon."" ""Gideon. Didn't he introduce you?"" ""Go to sleep",annotator_3,overlap
Song of Solomon (1977),Pilate,229691,229697,character_reference,0.85,Pilate,old me to get rid of the baby. But I wouldn't and Pilate helped me stand him off. I wouldn't have been str,annotator_3,unique
Song of Solomon (1977),Pilate,236969,236975,character_reference,0.85,Pilate,wept cleansing tears right there and later under Pilate's strap-to which she submitted with re- lief. Pil,annotator_3,overlap
Tar Baby (1981),Gideon,394523,394529,character_reference,0.7,Gideon,t out hair clippers. That was foolish. What could Gideon tell him anyway? He was so angry at the Americans,annotator_3,overlap
Song of Solomon (1977),Pilate,557213,557219,character_reference,0.7,Pilate,"eard off and on all his life. That old blues song Pilate sang all the time: ""O Sugarman don't leave me her",annotator_3,overlap
Sula (1973),Jude,145467,145471,thematic_reference,0.9,Jude,"bent to open the icebox. ""You puttin' it on, Nel. Jude must be wore out."" ""Jude must be wore out? You do",annotator_3,overlap
Song of Solomon (1977),Grace,538716,538721,thematic_reference,0.8,Grace,"ives!"" Milkman put his cup down. ""Well, I'll be!"" Grace's eyes were lit and dancing. ""You've come to the",annotator_3,overlap
The Bluest Eye (1970),job,248341,248344,thematic_reference,0.9,Job,"had pure and holy yearnings. God had done a poor job, and Soaphead suspected that he himself could hav",annotator_3,overlap
Paradise (1998),Mary,480757,480761,character_reference,0.85,Mary,"e woman she loved, she knew it was anathema, that Mary Magna would have recoiled in disgust and fury kno",annotator_3,overlap
